      Call name  |  Number of calls  |  Cum runtime(ms)  |  Min runtime(us)  |  Max runtime(us)  |  Avg runtime(us)  |  
         lambda  |              100  |           95.201  |                1  |             1652  |           952.01  |  
      SF update  |               99  |            4.054  |               23  |               66  |          40.9495  |  
      solvePath  |               99  |            7.553  |               40  |              424  |          76.2929  |  


      Call name  |  Number of calls  |  Cum runtime(ms)  |  Min runtime(us)  |  Max runtime(us)  |  Avg runtime(us)  |  
         lambda  |              200  |          201.662  |                1  |             3580  |          1008.31  |  
      SF update  |              199  |            8.254  |               23  |               86  |          41.4774  |  
      solvePath  |              199  |           19.684  |               39  |             1489  |          98.9146  |  


      Call name  |  Number of calls  |  Cum runtime(ms)  |  Min runtime(us)  |  Max runtime(us)  |  Avg runtime(us)  |  
         lambda  |              300  |          302.115  |                1  |             3580  |          1007.05  |  
      SF update  |              299  |           12.584  |               23  |               86  |           42.087  |  
      solvePath  |              299  |           27.671  |               39  |             1489  |          92.5452  |  


      Call name  |  Number of calls  |  Cum runtime(ms)  |  Min runtime(us)  |  Max runtime(us)  |  Avg runtime(us)  |  
         lambda  |              400  |          397.868  |                1  |             3580  |           994.67  |  
      SF update  |              399  |           16.813  |               23  |              118  |          42.1378  |  
      solvePath  |              399  |           35.612  |               39  |             1489  |          89.2531  |  


      Call name  |  Number of calls  |  Cum runtime(ms)  |  Min runtime(us)  |  Max runtime(us)  |  Avg runtime(us)  |  
         lambda  |              500  |          488.894  |                1  |             3580  |          977.788  |  
      SF update  |              499  |           20.736  |               23  |              118  |          41.5551  |  
      solvePath  |              499  |           43.339  |               39  |             1489  |          86.8517  |  


      Call name  |  Number of calls  |  Cum runtime(ms)  |  Min runtime(us)  |  Max runtime(us)  |  Avg runtime(us)  |  
         lambda  |              600  |          576.749  |                1  |             3580  |          961.248  |  
      SF update  |              599  |           24.628  |               23  |              118  |          41.1152  |  
      solvePath  |              599  |           51.434  |               39  |             1489  |          85.8664  |  


      Call name  |  Number of calls  |  Cum runtime(ms)  |  Min runtime(us)  |  Max runtime(us)  |  Avg runtime(us)  |  
         lambda  |              700  |          659.898  |                1  |             3580  |          942.711  |  
      SF update  |              699  |           28.498  |               23  |              118  |          40.7697  |  
      solvePath  |              699  |           58.966  |               39  |             1489  |          84.3577  |  


      Call name  |  Number of calls  |  Cum runtime(ms)  |  Min runtime(us)  |  Max runtime(us)  |  Avg runtime(us)  |  
         lambda  |              800  |          756.983  |                1  |             3580  |          946.229  |  
      SF update  |              799  |           32.694  |               23  |              118  |          40.9186  |  
      solvePath  |              799  |           67.137  |               39  |             1489  |          84.0263  |  


      Call name  |  Number of calls  |  Cum runtime(ms)  |  Min runtime(us)  |  Max runtime(us)  |  Avg runtime(us)  |  
         lambda  |              900  |          853.276  |                1  |             3580  |          948.084  |  
      SF update  |              899  |           36.831  |               23  |              118  |          40.9689  |  
      solvePath  |              899  |           75.197  |               39  |             1489  |          83.6452  |  


      Call name  |  Number of calls  |  Cum runtime(ms)  |  Min runtime(us)  |  Max runtime(us)  |  Avg runtime(us)  |  
         lambda  |             1000  |          6970.58  |                1  |      6.02070e+06  |          6970.58  |  
      SF update  |              999  |           41.104  |               23  |              118  |          41.1451  |  
      solvePath  |              999  |          6102.65  |               39  |      6.01958e+06  |          6108.76  |  


      Call name  |  Number of calls  |  Cum runtime(ms)  |  Min runtime(us)  |  Max runtime(us)  |  Avg runtime(us)  |  
         lambda  |             1100  |          7087.62  |                1  |      6.02070e+06  |           6443.3  |  
      SF update  |             1099  |           46.099  |               23  |              141  |          41.9463  |  
      solvePath  |             1099  |          6113.91  |               39  |      6.01958e+06  |          5563.16  |  


      Call name  |  Number of calls  |  Cum runtime(ms)  |  Min runtime(us)  |  Max runtime(us)  |  Avg runtime(us)  |  
         lambda  |             1200  |          7196.69  |                1  |      6.02070e+06  |          5997.24  |  
      SF update  |             1199  |           50.717  |               23  |              141  |          42.2994  |  
      solvePath  |             1199  |          6122.85  |               39  |      6.01958e+06  |          5106.63  |  


      Call name  |  Number of calls  |  Cum runtime(ms)  |  Min runtime(us)  |  Max runtime(us)  |  Avg runtime(us)  |  
         lambda  |             1300  |           7313.7  |                1  |      6.02070e+06  |          5625.92  |  
      SF update  |             1299  |           55.687  |               23  |              141  |          42.8691  |  
      solvePath  |             1299  |          6132.39  |               39  |      6.01958e+06  |          4720.86  |  


      Call name  |  Number of calls  |  Cum runtime(ms)  |  Min runtime(us)  |  Max runtime(us)  |  Avg runtime(us)  |  
         lambda  |             1400  |          7448.64  |                1  |      6.02070e+06  |          5320.46  |  
      SF update  |             1399  |           61.012  |               23  |              141  |          43.6112  |  
      solvePath  |             1399  |          6149.47  |               39  |      6.01958e+06  |          4395.61  |  


      Call name  |  Number of calls  |  Cum runtime(ms)  |  Min runtime(us)  |  Max runtime(us)  |  Avg runtime(us)  |  
         lambda  |             1500  |          7571.38  |                1  |      6.02070e+06  |          5047.59  |  
